City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Port Alfred,ZA,2022-09-24 20:34:35,-33.5906,26.891,65.17,93,100,5.99
227,Bathsheba,BB,2022-09-24 20:34:35,13.2167,-59.5167,88.41,62,20,12.66
228,Rumuruti,KE,2022-09-24 20:34:36,0.267,36.5389,59.45,76,67,13.31
229,Muisne,EC,2022-09-24 20:34:36,0.6,-80.0333,75.96,82,100,11.72
230,Moose Factory,CA,2022-09-24 20:34:37,51.2585,-80.6094,68.0,45,0,8.05
231,Ayagoz,KZ,2022-09-24 20:35:38,47.9714,80.4392,53.53,38,7,10.22
232,Atbasar,KZ,2022-09-24 20:35:38,51.8,68.3333,66.52,33,49,6.4
233,Chunhuhub,MX,2022-09-24 20:35:39,19.55,-88.6833,92.37,46,65,5.82
234,Vostok,RU,2022-09-24 20:35:39,46.4856,135.8833,42.73,98,16,5.01
235,Pemangkat,ID,2022-09-24 20:27:46,1.1667,108.9667,77.56,85,100,5.1
236,Geraldton,AU,2022-09-24 20:26:30,-28.7667,114.6,48.61,87,100,1.14
237,Shimoda,JP,2022-09-24 20:35:41,34.6667,138.95,69.1,82,100,13.82
238,Kuytun,RU,2022-09-24 20:35:41,54.3419,101.5036,32.16,96,60,4.92
239,Nanortalik,GL,2022-09-24 20:35:42,60.1432,-45.2371,42.84,95,100,9.8
240,Cairns,AU,2022-09-24 20:35:35,-16.9167,145.7667,71.55,93,75,0.0
241,Dzialdowo,PL,2022-09-24 20:35:42,53.2396,20.17,50.97,55,100,4.81
242,Diffa,NE,2022-09-24 20:35:43,13.3154,12.6113,86.02,49,57,7.94
243,Alofi,NU,2022-09-24 20:35:44,-19.0595,-169.9187,78.69,73,75,11.5
244,Pangnirtung,CA,2022-09-24 20:26:34,66.1451,-65.7125,36.93,46,30,3.47
245,Robertsport,LR,2022-09-24 20:35:44,6.7533,-11.3686,75.9,89,100,10.8
246,Lorengau,PG,2022-09-24 20:35:45,-2.0226,147.2712,82.83,72,78,10.42
247,Aginskoye,RU,2022-09-24 20:35:46,51.1,114.53,37.65,75,100,11.01
