City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Bontang,ID,0.1333,117.5,75.58,88,86,3.8,overcast clouds
237,Sechura,PE,-5.5569,-80.8222,72.0,60,41,19.06,scattered clouds
238,Nago,JP,26.5881,127.9761,79.65,83,9,3.8,clear sky
239,Manokwari,ID,-0.8667,134.0833,78.4,73,83,4.23,broken clouds
240,Ostend,BE,51.2234,2.9119,53.98,74,40,3.44,scattered clouds
241,San Pedro,PH,14.35,121.0167,78.03,93,75,2.3,broken clouds
242,Benbrook,US,32.6732,-97.4606,91.89,25,0,6.91,clear sky
243,Imbituba,BR,-28.24,-48.6703,64.2,81,100,6.02,overcast clouds
244,Jining,CN,35.405,116.5814,63.34,61,100,4.43,overcast clouds
245,Pokhara,NP,28.2333,83.9833,65.41,75,0,5.77,clear sky
246,Kawambwa,ZM,-9.7915,29.0791,74.77,28,89,5.46,overcast clouds
247,Hayvoron,UA,48.3396,29.8679,54.81,92,27,1.81,scattered clouds
248,Jacqueville,CI,5.2052,-4.4146,75.92,91,61,10.98,moderate rain
249,Capitao Poco,BR,-1.7464,-47.0594,80.67,66,66,6.55,broken clouds
250,Kiunga,PG,-6.1219,141.2906,72.77,99,100,1.45,overcast clouds
251,Kabwe,ZM,-14.4469,28.4464,73.24,31,7,9.13,clear sky
252,Maguling,PH,6.095,124.4033,78.76,76,100,4.21,overcast clouds
253,Qinzhou,CN,21.95,108.6167,78.91,76,99,4.29,overcast clouds
254,Yar-Sale,RU,66.8333,70.8333,28.29,87,97,10.11,overcast clouds
255,Saucillo,MX,28.0167,-105.2833,78.98,38,96,8.46,overcast clouds
256,Pecos,US,31.4229,-103.4932,89.69,20,0,12.66,clear sky
257,Maragogi,BR,-9.0122,-35.2225,73.9,69,4,6.22,clear sky
258,Carnarvon,AU,-24.8667,113.6333,65.55,33,1,12.03,clear sky
259,Rudsar,IR,37.1376,50.288,71.58,82,1,3.0,clear sky
260,Beira,MZ,-19.8436,34.8389,77.09,88,20,9.19,few clouds
261,Cururupu,BR,-1.8283,-44.8683,76.3,86,35,3.89,scattered clouds
262,Roma,US,43.2128,-75.4557,57.09,95,100,4.61,moderate rain
263,Belyy Yar,RU,53.6039,91.3903,46.29,78,0,13.42,clear sky
264,Luganville,VU,-15.5333,167.1667,81.14,78,40,11.12,scattered clouds
265,Kavaratti,IN,10.5669,72.642,81.41,74,60,15.66,broken clouds
266,Ayagoz,KZ,47.9714,80.4392,53.53,40,100,8.68,overcast clouds
267,Uusikaupunki,FI,60.8004,21.4084,49.05,84,100,11.86,overcast clouds
268,Caravelas,BR,-17.7125,-39.2481,73.99,84,0,9.24,clear sky
269,Pleasant Point,NZ,-44.2667,171.1333,59.29,90,95,3.0,overcast clouds
270,Loukhi,RU,66.0764,33.0381,42.93,90,100,4.59,overcast clouds
271,Chokurdakh,RU,70.6333,147.9167,22.95,82,100,7.38,overcast clouds
272,Varhaug,NO,58.6147,5.6457,52.9,86,100,8.93,overcast clouds
273,Tiarei,PF,-17.5333,-149.3333,82.42,80,18,13.58,light rain
274,Sao Filipe,CV,14.8961,-24.4956,78.28,73,45,5.95,scattered clouds
275,Manitouwadge,CA,49.1215,-85.8403,38.01,86,100,10.76,overcast clouds
276,Juxtlahuaca,MX,17.4294,-99.1467,79.0,72,52,1.07,broken clouds
277,Hambantota,LK,6.1241,81.1185,75.54,100,40,1.14,scattered clouds
278,Sangar,RU,63.9242,127.4739,30.45,96,100,8.86,light snow
279,Vitre,FR,48.1178,-1.2058,59.88,94,100,17.47,light rain
280,Boa Vista,BR,2.8197,-60.6733,89.58,48,40,10.36,scattered clouds
281,Sompeta,IN,18.9333,84.6,79.18,85,76,3.04,broken clouds
282,Douglas,US,41.3,-96.167,79.38,30,0,11.5,haze
283,Bengkulu,ID,-3.8004,102.2655,74.86,89,87,3.8,light rain
284,Kamenskiy,RU,50.8855,45.488,54.82,79,100,13.11,overcast clouds
285,Nouadhibou,MR,20.931,-17.0347,78.78,78,67,11.5,broken clouds
286,Diplo,PK,24.4667,69.584,80.04,69,59,9.66,broken clouds
287,Buala,SB,-8.145,159.5921,82.92,66,98,10.0,overcast clouds
288,Tiksi,RU,71.6872,128.8694,31.96,92,100,21.05,light snow
289,Sao Joao Evangelista,BR,-18.5478,-42.7633,71.55,75,100,2.95,overcast clouds
290,Bud,US,39.447,-86.1758,65.75,43,17,14.74,few clouds
291,Chavakkad,IN,10.5333,76.05,77.72,89,70,6.98,broken clouds
292,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,97,6.04,overcast clouds
293,Pantelho,MX,16.9333,-92.55,64.78,94,63,3.83,broken clouds
294,Sioux Lookout,CA,50.1001,-91.917,48.27,46,20,9.22,few clouds
295,Tessalit,ML,20.1986,1.0114,94.82,12,63,6.73,broken clouds
296,Ozernovskiy,RU,51.5,156.5167,49.46,76,90,20.18,light rain
297,Kabanjahe,ID,3.1001,98.4908,63.55,97,100,4.92,moderate rain
298,Tournon-Sur-Rhone,FR,45.0667,4.8333,59.25,72,99,2.48,light rain
299,Altay,CN,47.8667,88.1167,48.04,79,90,3.27,overcast clouds
300,Bahraich,IN,27.5833,81.6,74.77,84,0,4.34,clear sky
301,Burevestnik,RU,56.144,43.7883,47.95,100,100,6.71,light rain
302,Beloha,MG,-25.1667,45.05,66.67,92,0,6.24,clear sky
