City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Shingu,JP,71.29,overcast clouds,33.7333,135.9833,Shingu UI Hotel
636,Kasongo-Lunda,CD,71.67,light rain,-6.4667,16.8167,
638,Tuy Hoa,VN,79.56,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
639,America Dourada,BR,75.09,clear sky,-11.4553,-41.4361,Cantinho das araras
642,Rocky Mount,US,76.71,clear sky,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
646,Cabinda,AO,75.38,broken clouds,-5.55,12.2,Hotel Maiombe
649,Acari,PE,70.3,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
654,Antu,IN,77.36,scattered clouds,26.05,81.9167,Ram Govind Verma
656,Mayumba,GA,75.61,overcast clouds,-3.432,10.6554,LIKWALE LODGE
658,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
659,Karonga,MW,77.11,clear sky,-9.9333,33.9333,Sumuka Inn
662,Carutapera,BR,79.54,scattered clouds,-1.195,-46.02,Lidera
666,Belmonte,BR,73.67,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
677,Bardiyah,LY,78.3,clear sky,31.7561,25.0865,بورتو بردية
682,Bantigue,PH,77.95,light rain,10.9899,124.6225,GV Hotel Ormoc
684,Mankachar,IN,78.3,scattered clouds,25.5333,89.8667,Sanowar hussain
686,Gigmoto,PH,79.79,light rain,13.7796,124.39,Cj's Travellers Inn
687,Alta Floresta,BR,76.51,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
689,Bang Saphan,TH,75.25,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
